Scrip Code,COMPANY,ISIN No.,Close Price
523395,3M India Ltd,INE470A01017,30716.45
500002,ABB India Ltd,INE117A01022,5631.85
500488,Abbott India Ltd,INE358A01014,27593.45
500410,ACC Ltd,INE012A01025,2693.85
539254,Adani Energy Solutions Ltd,INE931S01010,1064.15
512599,Adani Enterprises Ltd,INE423A01024,3316.3
541450,Adani Green Energy Ltd,INE364U01010,1942.1
532921,Adani Ports and Special Economic Zone,INE742F01042,1342.6
533096,Adani Power Ltd,INE814H01011,559
542066,Adani Total Gas Limited,INE399L01023,1025.7
543458,Adani Wilmar Ltd,INE699H01024,375.3
540691,Aditya Birla Capital Ltd,INE674K01013,190.9
539523,Alkem Laboratories Ltd,INE540L01014,5122.35
500425,Ambuja Cements Ltd,INE079A01024,617.2
533758,APL Apollo Tubes Ltd,INE702C01027,1540.95
508869,Apollo Hospitals Enterprise Ltd,INE437A01024,6035.95
500477,Ashok Leyland Ltd,INE208A01029,171.95
500820,Asian Paints Ltd,INE021A01026,2831.75
532830,ASTRAL LIMITED,INE006I01046,2096.4
540611,AU Small Finance Bank Ltd,INE949L01017,579.8
524804,Aurobindo Pharma Ltd,INE406A01037,1090.65
540376,Avenue Supermarts Ltd,INE192R01011,3845.2
532215,Axis Bank Ltd,INE238A01034,1106.5
532977,Bajaj Auto Ltd,INE917I01010,8205.15
500034,Bajaj Finance Ltd,INE296A01024,6600.45
532978,Bajaj Finserv Ltd,INE918I01026,1619.4
500490,Bajaj Holdings and Investment Ltd,INE118A01012,8847.8
502355,Balkrishna Industries Ltd,INE787D01026,2237.75
541153,Bandhan Bank Ltd,INE545U01014,198.85
532134,Bank of Baroda,INE028A01039,273.3
532149,Bank of India,INE084A01016,139.45
500043,Bata India Ltimited,INE176A01028,1425
506285,Bayer CropScience Ltd/India,INE462A01022,5551.55
509480,Berger Paints India Ltd,INE463A01038,578.85
500049,Bharat Electronics Ltd,INE263A01024,209.6
500493,Bharat Forge Ltd,INE465A01025,1189.65
500103,Bharat Heavy Electricals Ltd,INE257A01026,264.7
500547,Bharat Petroleum Corp Ltd,INE029A01011,640.65
532454,Bharti Airtel Ltd,INE397D01024,1134
532523,Biocon Ltd,INE376G01013,278.75
500530,Bosch Ltd,INE323A01026,29335.05
500825,Britannia Industries Ltd.,INE216A01030,4840.7
532483,Canara Bank,INE476A01014,591.8
500093,CG Power and Industrial Solutions Ltd,INE067A01029,466.7
511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1074.45
500087,Cipla Ltd/India,INE059A01026,1471.25
533278,Coal India Ltd,INE522F01014,455.2
532541,Coforge Ltd,INE591G01017,6441.9
500830,Colgate-Palmolive India Ltd,INE259A01022,2578.15
531344,Container Corp Of India,INE111A01025,984.3
506395,Coromandel International Ltd,INE169A01031,1092.1
500480,Cummins India Ltd,INE298A01020,2780.1
500096,Dabur India Ltd,INE016A01026,537.4
542216,Dalmia Bharat Ltd,INE00R701025,2025.8
506401,Deepak Nitrite Limited,INE288B01029,2187.3
543529,Delhivery Limited,INE148O01028,458.65
532488,Divi's Laboratories Ltd,INE361B01024,3481.45
540699,Dixon Technologies (India) Ltd,INE935N01020,7161
532868,DLF Ltd,INE271C01023,932
500124,Dr Reddy's Laboratories Ltd,INE089A01023,6335.95
505200,Eicher Motors Ltd,INE066A01021,3752.1
540153,Endurance Technologies Ltd,INE913H01037,1825.75
500495,Escorts Ltd,INE042A01014,2917.95
500469,Federal Bank Ltd,INE171A01029,153.75
543384,FSN E-Commerce Ventures Ltd,INE388Y01029,158.9
532155,Gail India Ltd,INE129A01019,190.85
540755,General Insurance Corporation of India,INE481Y01014,398.95
543245,Gland Pharma Ltd,INE068V01023,1706.6
500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,2152.55
532424,Godrej Consumer Products Ltd,INE102D01028,1254.5
533150,Godrej Properties Ltd,INE484J01027,2491.9
500300,Grasim Industries Ltd,INE047A01021,2233.7
542812,Gujarat Fluorochemicals Ltd,INE09N301011,3494.8
539336,Gujarat Gas Ltd,INE844O01030,589.75
517354,Havells India Ltd,INE176B01034,1552.3
532281,HCL Technologies Ltd,INE860A01027,1636.85
541729,HDFC Asset Management Company Ltd,INE127D01025,3852.65
500180,HDFC Bank Ltd,INE040A01034,1432.2
540777,HDFC Life Insurance Company Ltd,INE795G01014,610.3
500182,Hero MotoCorp Ltd,INE158A01026,4609.45
500440,Hindalco Industries Ltd,INE038A01020,525.1
