Ticker Number,Scrip Code,COMPANY,Sector,,,,
500820,ASIANPAINT.BO,Asian Paints,Paints,,,,
532215,AXISBANK.BO,Axis Bank,Banking - Private,,,,
532977,BAJAJ-AUTO.BO,Bajaj Auto,Automobile,,,,
500034,BAJFINANCE.BO,Bajaj Finance,Finance (NBFC),,,,
532978,BAJAJFINSV.BO,Bajaj Finserv,Finance (Investment),,,,
532454,BHARTIARTL.BO,Bharti Airtel,Telecommunications,,,,
500124,DRREDDY.BO,Dr Reddy's Laboratories,Pharmaceuticals,,,,s
532281,HCLTECH.BO,HCL Technologies,IT Services & Consulting,,,,
500010,HDFC.BO,HDFC,Finance (Housing),,,,
500180,HDFCBANK.BO,HDFC Bank,Banking - Private,,,,
500696,HINDUNILVR.BO,Hindustan Unilever Limited,FMCG,,,,
532174,ICICIBANK.BO,ICICI Bank,Banking - Private,,,,
532187,INDUSINDBK.BO,IndusInd Bank,Banking - Private,,,,
500209,INFY.BO,Infosys,IT Services & Consulting,,,,
500875,ITC.BO,ITC Limited,Cigarettes & FMCG,,,,
500247,KOTAKBANK.BO,Kotak Mahindra Bank,Banking - Private,,,,
500510,LT.BO,Larsen & Toubro,Engineering & Construction,,,,
500520,M&M.BO,Mahindra & Mahindra,Automobile,,,,
532500,MARUTI.BO,Maruti Suzuki,Automobile,,,,
500790,NESTLEIND.BO,Nestlé India,FMCG,,,,
532555,NTPC.BO,NTPC,Power generation/Distribution,,,,
500312,ONGC.BO,Oil and Natural Gas Corporation,Oil exploration and Production,,,,
532898,POWERGRID.BO,Power Grid Corporation of India,Power generation/Distribution,,,,
500325,RELIANCE.BO,Reliance Industries Limited,Conglomerate,,,,
500112,SBIN.BO,State Bank of India,Banking - Public,,,,
524715,SUNPHARMA.BO,Sun Pharma,Pharmaceuticals,,,,
532540,TCS.BO,Tata Consultancy Services,IT Services & Consulting,,,,
532755,TECHM.BO,Tech Mahindra,IT Services & Consulting,,,,
500114,TITAN.BO,Titan Company,Diamond & Jewellery,,,,
532538,ULTRACEMCO.BO,UltraTech Cement,Cement,,,,
