Scrip Code,COMPANY,ISIN No.,Close Price
500820,Asian Paints Ltd,INE021A01026,3460.65
532215,Axis Bank Ltd,INE238A01034,965.2
500034,Bajaj Finance Ltd,INE296A01024,7507.95
532978,Bajaj Finserv Ltd,INE918I01026,1610.65
532454,Bharti Airtel Ltd,INE397D01024,878.65
532281,HCL Technologies Ltd,INE860A01027,1153.65
500180,HDFC Bank Ltd,INE040A01034,1679.2
500696,Hindustan Unilever Ltd,INE030A01027,2679.95
532174,ICICI Bank Ltd,INE090A01021,969.15
532187,IndusInd Bank Ltd,INE095A01012,1392.6
500209,Infosys Ltd,INE009A01021,1422.75
500875,ITC Ltd,INE154A01025,472.1
500228,JSW Steel Ltd,INE019A01038,797.3
500247,Kotak Mahindra Bank Ltd,INE237A01028,1895.9
500510,Larsen & Toubro Ltd,INE018A01030,2469
500520,Mahindra & Mahindra Ltd,INE101A01026,1536.25
532500,Maruti Suzuki India Ltd,INE585B01010,9687.95
500790,Nestle India Ltd,INE239A01016,23068.75
532555,NTPC Ltd,INE733E01010,186.5
532898,Power Grid Corp of India Ltd,INE752E01010,241
500325,Reliance Industries Ltd,INE002A01018,2796.4
500112,State Bank of India,INE062A01020,600.9
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,1077.6
532540,Tata Consultancy Services Ltd,INE467B01029,3491.95
500570,Tata Motors Ltd,INE155A01022,618.35
500470,Tata Steel Ltd,INE081A01020,117.7
532755,Tech Mahindra Ltd,INE669C01036,1242.35
500114,Titan Co Ltd,INE280A01028,3034
532538,UltraTech Cement Ltd,INE481G01011,8250.05
507685,Wipro Ltd,INE075A01022,415.25
