Scrip Code,COMPANY,ISIN No.,Close Price
500820,Asian Paints Ltd,INE021A01026,3314.55
532215,Axis Bank Ltd,INE238A01034,965.85
500034,Bajaj Finance Ltd,INE296A01024,7203.25
532978,Bajaj Finserv Ltd,INE918I01026,1519.1
532454,Bharti Airtel Ltd,INE397D01024,838.7
532281,HCL Technologies Ltd,INE860A01027,1170.15
500180,HDFC Bank Ltd,INE040A01034,1635.8
500696,Hindustan Unilever Ltd,INE030A01027,2675.5
500010,Housing Development Finance Corp,INE001A01036,2701.9
532174,ICICI Bank Ltd,INE090A01021,924.7
532187,IndusInd Bank Ltd,INE095A01012,1286.75
500209,Infosys Ltd,INE009A01021,1301.4
500875,ITC Ltd,INE154A01025,447.05
500247,Kotak Mahindra Bank Ltd,INE237A01028,1846.3
500510,Larsen & Toubro Ltd,INE018A01030,2393.3
500520,Mahindra & Mahindra Ltd,INE101A01026,1373.95
532500,Maruti Suzuki India Ltd,INE585B01010,9437.45
500790,Nestle India Ltd,INE239A01016,22864.05
532555,NTPC Ltd,INE733E01010,187.5
532898,Power Grid Corp of India Ltd,INE752E01010,258.1
500325,Reliance Industries Ltd,INE002A01018,2563.6
500112,State Bank of India,INE062A01020,566.4
524715,Sun Pharmaceutical Industries Ltd,INE044A01036,991.75
532540,Tata Consultancy Services Ltd,INE467B01029,3257.45
500570,Tata Motors Ltd,INE155A01022,581.2
500470,Tata Steel Ltd,INE081A01020,113.9
532755,Tech Mahindra Ltd,INE669C01036,1119.7
500114,Titan Co Ltd,INE280A01028,2969.75
532538,UltraTech Cement Ltd,INE481G01011,8241.85
507685,Wipro Ltd,INE075A01022,385.55
